Jan '20,74.3,24.76,0.21,0.73
Feb '20,73.3,25.89,0.23,0.58
Mar '20,72.26,27.03,0.32,0.39
Apr '20,70.68,28.79,0.12,0.41
May '20,72.6,26.72,0.2,0.48
Jun '20,74.14,25.26,0.13,0.47
Jul '20,74.6,24.82,0.1,0.48
Aug '20,74.25,25.15,0.08,0.52
Sep '20,74.44,24.98,0.08,0.5
Oct '20,72.92,26.53,0.07,0.48
Nov '20,71.18,28.19,0.13,0.5
Dec '20,72.48,26.91,0.13,0.48
Jan '21,71.93,27.47,0.1,0.5
